Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Delete 200 Random Products,318,205,191,417,23.50,37.107%,2.64826,0.46,0.58,178.8
Get Top k Products,650,207,191,406,22.05,0.000%,5.41355,4.82,0.78,911.1
Get 200 Random Products,652,207,192,421,23.41,38.650%,5.43084,1.35,0.74,253.6
Post 100 Products,100,342,196,419,93.85,68.000%,3.83936,0.92,0.90,244.1
Post 200 Random Products,488,324,193,425,99.06,59.426%,4.06041,0.97,0.95,243.6
Get Product List,320,209,195,418,23.18,0.000%,2.67029,9.15,0.35,3507.7
Rate 200 Random Products,320,207,192,415,23.74,36.875%,2.67364,0.66,0.68,254.2
Update 200 Random Products,320,207,192,409,22.87,30.312%,2.67778,0.60,0.63,227.9
Delete All Products,200,85,0,426,109.15,39.000%,14.54651,2.59,2.81,182.0
TOTAL,3368,221,0,426,77.59,30.315%,25.11390,16.54,4.68,674.2
