Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Product List,735,4,1,213,12.48,0.000%,6.12735,20.72,0.81,3463.0
Get 200 Random Products,1370,3,0,201,11.06,35.620%,11.43363,2.82,1.56,252.5
Rate 200 Random Products,721,6,1,468,22.85,39.667%,6.01585,1.50,1.53,255.4
Post 100 Products,100,6,1,58,10.33,18.000%,10.83893,2.27,2.54,214.1
Get Top k Products,1439,4,1,185,11.41,0.000%,12.01439,9.96,1.72,848.5
Post 200 Random Products,1386,5,1,236,15.10,62.482%,11.56301,2.62,2.72,232.2
Update 200 Random Products,699,7,1,583,27.73,30.758%,5.83263,1.42,1.37,249.7
Delete 200 Random Products,699,6,1,382,19.96,33.047%,5.84409,0.98,1.29,172.5
Delete All Products,200,3,1,61,5.43,36.000%,21.08815,3.65,4.07,177.3
TOTAL,7349,5,0,583,16.51,29.609%,56.67114,37.43,10.64,676.3
