Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Product List,1291,20,0,1845,69.86,0.000%,.22082,0.75,0.03,3458.1
Get Top k Products,2659,21,1,3980,116.38,0.000%,.45481,0.39,0.07,874.8
Post 200 Random Products,2525,24,1,3899,123.62,63.762%,.43190,0.10,0.10,238.1
Get 200 Random Products,2612,19,0,1972,65.11,35.337%,.44677,0.11,0.06,252.4
Delete 200 Random Products,1314,23,0,3978,118.70,37.823%,.22476,0.04,0.05,180.0
Post 100 Products,200,62,1,1626,162.79,15.500%,.03486,0.01,0.01,226.0
Rate 200 Random Products,1311,23,1,3942,117.84,37.986%,.22426,0.06,0.06,254.7
Update 200 Random Products,1251,22,0,1768,69.17,30.775%,.21397,0.05,0.05,239.4
Delete All Products,400,9,0,83,15.11,33.250%,.06975,0.01,0.01,173.0
TOTAL,13563,22,0,3980,101.78,30.060%,2.31649,1.51,0.43,666.2
