Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Products,1421,4,1,101,9.43,0.000%,11.86837,9.78,1.70,843.6
Get Product List,719,4,1,118,11.84,0.000%,6.00237,20.34,0.80,3470.6
Post 100 Products,100,5,1,70,9.20,13.000%,11.47184,2.38,2.69,212.1
Rate 200 Random Products,702,7,1,161,14.44,15.954%,5.88511,1.41,1.50,245.4
Post 200 Random Products,1416,5,1,118,11.18,84.251%,11.83768,2.78,2.78,240.8
Update 200 Random Products,154,615,577,1499,73.34,7.792%,1.28647,0.30,0.30,242.1
Get 200 Random Products,165,1292,2,3067,685.18,18.788%,1.37926,0.33,0.19,246.2
Delete 200 Random Products,154,614,582,1520,75.01,17.532%,1.28690,0.19,0.28,148.5
Get Top k Access,87,1230,3,1506,294.04,0.000%,.72516,7.43,0.10,10498.1
Delete All Products,200,4,2,117,8.37,8.500%,19.29571,2.53,3.72,134.3
TOTAL,5118,104,1,3067,329.49,27.452%,39.19376,39.41,7.49,1029.6
