Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get 200 Random Products,1487,15,1,1270,50.04,37.861%,6.36008,1.57,0.87,252.3
Get Top k Access,725,14,1,1218,55.69,6.621%,3.10390,14.29,0.44,4713.5
Delete 200 Random Products,721,18,1,1296,67.02,38.280%,3.09091,0.55,0.68,181.9
Rate 200 Random Products,707,22,1,2029,86.69,35.644%,3.02413,0.76,0.77,256.1
Update 200 Random Products,691,22,1,1908,89.89,33.430%,2.95783,0.72,0.69,250.1
Get Top k Products,1440,18,1,2310,99.33,0.139%,6.15961,5.10,0.88,847.7
Get Product List,711,18,1,2182,97.79,0.000%,3.04627,10.29,0.40,3460.4
Post 100 Products,164,102,3,3213,344.14,51.829%,1.31923,0.31,0.31,241.8
Post 200 Random Products,1404,22,1,3239,122.62,64.387%,6.00601,1.38,1.41,234.6
Delete All Products,200,4,1,57,5.38,32.000%,21.45232,3.58,4.14,171.1
TOTAL,8250,20,1,3239,100.23,29.394%,33.89984,33.55,6.22,1013.5
