Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Products,1429,6,1,1082,40.32,0.000%,11.92165,9.87,1.71,847.7
Get Product List,663,9,1,1048,70.41,0.000%,5.52776,18.98,0.73,3515.1
Get 200 Random Products,235,850,1,3056,1343.98,27.234%,1.94951,0.48,0.27,249.6
Rate 200 Random Products,100,1041,3,3066,1420.93,32.000%,.83741,0.21,0.21,252.5
Post 100 Products,100,222,3,3043,765.86,7.000%,3.72509,0.76,0.87,209.7
Post 200 Random Products,116,1925,4,3071,1442.70,62.931%,.94805,0.22,0.22,232.4
Update 200 Random Products,161,606,3,3095,1172.53,17.391%,1.31305,0.31,0.31,245.1
Delete 200 Random Products,94,1161,3,3072,1461.82,38.298%,.76578,0.14,0.17,181.0
Get Top k Access,38,3020,3010,3095,16.68,100.000%,.31312,0.08,0.04,268.0
Get 200 Random Products with Price,199,1049,2,3556,1432.23,26.633%,1.62441,0.40,0.25,250.0
Delete All Products,110,960,3,3009,1397.60,31.818%,3.35192,0.56,0.64,170.7
TOTAL,3245,370,1,3556,977.37,11.279%,21.23316,24.34,3.39,1173.8
