Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Post 100 Products,100,340,4,3142,873.46,9.000%,4.04629,0.83,0.95,210.5
Post 200 Random Products,122,1829,4,3224,1453.62,58.197%,.99716,0.22,0.23,230.5
Get 200 Random Products with Price,152,1419,15,4022,1487.53,39.474%,1.26081,0.31,0.20,255.2
Get Product List,667,15,1,1165,93.91,0.000%,5.56785,19.09,0.74,3511.8
Delete 200 Random Products,112,935,3,3352,1369.34,29.464%,.91226,0.15,0.20,167.2
Update 200 Random Products,146,675,2,3191,1213.39,20.548%,1.19484,0.29,0.28,246.1
Get Top k Products,1321,20,1,3083,152.79,0.000%,11.01797,9.13,1.58,848.5
Rate 200 Random Products,101,1014,3,3179,1408.58,32.673%,.84089,0.21,0.21,252.8
Get 200 Random Products,204,1033,1,3124,1417.77,33.333%,1.67156,0.41,0.23,251.9
Get Top k Access,37,3079,3011,3456,112.28,100.000%,.30876,0.08,0.04,268.0
Delete All Products,101,1048,3,3019,1426.91,34.653%,3.07683,0.53,0.59,175.1
TOTAL,3063,407,1,4022,1008.57,12.276%,20.02353,23.69,3.21,1211.3
