Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Post 100 Products,100,172,2,3008,658.00,5.000%,4.34991,0.89,1.02,208.9
Post 200 Random Products,123,1765,3,3091,1479.07,57.724%,1.02478,0.23,0.24,230.4
Get Product List,728,3,1,90,6.29,0.000%,6.07001,20.84,0.81,3514.8
Get Top k Products,1460,3,1,83,6.01,0.000%,12.17346,10.16,1.75,854.6
Update 200 Random Products,159,610,3,3015,1187.23,19.497%,1.29532,0.31,0.30,245.8
Get 200 Random Products,201,1035,1,3025,1426.04,34.328%,1.65166,0.41,0.22,252.4
Get 200 Random Products with Price,129,1700,2,3534,1521.06,43.411%,1.07226,0.27,0.17,256.8
Delete 200 Random Products,109,934,3,3016,1366.32,27.523%,.88962,0.14,0.20,164.1
Rate 200 Random Products,104,1006,2,3024,1407.32,32.692%,.85557,0.21,0.22,252.9
Get Top k Access,38,3021,3011,3144,25.09,100.000%,.31308,0.08,0.04,268.0
Delete All Products,105,1036,2,3027,1424.27,34.286%,3.26991,0.56,0.63,174.5
TOTAL,3256,367,1,3534,979.09,11.364%,21.33585,25.93,3.40,1244.3
